user_id,age,country,city,business_activity,covid_activity,entertainment_activity,movie_activity,politics_activity,sport_activity,tech_activity,user_total_activity
82908,35,0.11229643801241933,0.1544819955415982,0.06976744186046512,0.19402985074626866,0.07407407407407407,0.2302158273381295,0.08849557522123894,0.1016949152542373,0.14285714285714285,0.1478405315614618
55992,21,0.11229643801241933,0.10141643059490085,0.16666666666666666,0.14814814814814814,0.07692307692307693,0.12571428571428572,0.12903225806451613,0.2222222222222222,0.09090909090909091,0.13970588235294118
289,45,0.11229643801241933,0.13010251630941286,0.08695652173913043,0.10309278350515463,0.0,0.1,0.07407407407407407,0.022222222222222223,0.15,0.08461538461538462
125840,38,0.11229643801241933,0.07100591715976332,0.0,0.07317073170731707,0.1111111111111111,0.08450704225352113,0.0,0.0,0.0,0.056818181818181816
104581,22,0.11229643801241933,0.1544819955415982,0.09090909090909091,0.1836734693877551,0.2,0.13793103448275862,0.2727272727272727,0.375,0.0,0.18674698795180722
144839,23,0.11229643801241933,0.07462686567164178,0.10714285714285714,0.11764705882352941,0.125,0.055865921787709494,0.027777777777777776,0.15789473684210525,0.045454545454545456,0.08982035928143713
157838,29,0.11229643801241933,0.1544819955415982,0.2,0.21794871794871795,0.23076923076923078,0.15555555555555556,0.07547169811320754,0.1044776119402985,0.15789473684210525,0.1536231884057971
127062,61,0.11229643801241933,0.12219077028649854,0.15,0.16597510373443983,0.13953488372093023,0.08854166666666667,0.2558139534883721,0.15625,0.0975609756097561,0.14082278481012658
117884,39,0.11229643801241933,0.08008207700418934,0.11538461538461539,0.09352517985611511,0.18181818181818182,0.12863070539419086,0.05263157894736842,0.08450704225352113,0.23809523809523808,0.11265164644714037
48318,21,0.11229643801241933,0.1544819955415982,0.21875,0.14556962025316456,0.2903225806451613,0.1643835616438356,0.18867924528301888,0.3132530120481928,0.0,0.18686868686868688
117813,41,0.11229643801241933,0.0563230605738576,0.0,0.00819672131147541,0.02857142857142857,0.0371900826446281,0.0,0.0,0.08333333333333333,0.023008849557522124
140081,16,0.11229643801241933,0.10758630853689989,0.0,0.13043478260869565,0.06666666666666667,0.030534351145038167,0.08823529411764706,0.10714285714285714,0.0,0.07222222222222222
25759,22,0.11229643801241933,0.06652036757646414,0.047619047619047616,0.07317073170731707,0.0,0.022222222222222223,0.10256410256410256,0.10526315789473684,0.0,0.0525164113785558
123931,34,0.11229643801241933,0.11131514515564883,0.0,0.14492753623188406,0.15,0.11834319526627218,0.027777777777777776,0.04838709677419355,0.1,0.08936825885978428
6074,22,0.11229643801241933,0.14082304986319727,0.2,0.15254237288135594,0.07142857142857142,0.10526315789473684,0.13157894736842105,0.2,0.1111111111111111,0.1331168831168831
156855,18,0.08454942079133444,0.09948269001193792,0.0,0.058823529411764705,0.1,0.07608695652173914,0.10714285714285714,0.125,0.125,0.08444444444444445
149297,28,0.11229643801241933,0.14082304986319727,0.15384615384615385,0.06976744186046512,0.1,0.10526315789473684,0.0547945205479452,0.0625,0.21739130434782608,0.09004739336492891
1209,15,0.11229643801241933,0.1611236680658702,0.13043478260869565,0.13934426229508196,0.10526315789473684,0.09313725490196079,0.1111111111111111,0.13043478260869565,0.16666666666666666,0.1154639175257732
74913,16,0.11229643801241933,0.08008207700418934,0.0,0.07317073170731707,0.0,0.05660377358490566,0.1,0.11320754716981132,0.0,0.06544502617801047
25982,19,0.11229643801241933,0.14447276202612297,0.05,0.1,0.15384615384615385,0.1,0.14285714285714285,0.15,0.2,0.11450381679389313
